"Date","Price","Open","High","Low","Change %"
"06/08/2023","11.628","27.964","27.964","10.074","-8.00%"
"06/07/2023","12.639","14.222","16.752","12.176","2.96%"
"06/06/2023","12.276","14.226","12.796","12.276","0.52%"
"06/05/2023","12.212","14.377","12.732","12.212","-3.84%"
"06/04/2023","12.700","12.700","12.700","12.700","-1.68%"
"06/03/2023","12.917","12.917","12.917","12.917","1.71%"
"06/02/2023","12.700","11.976","12.700","12.700","-5.14%"
"06/01/2023","13.388","15.037","13.388","13.388","0.49%"
"05/31/2023","13.323","15.554","13.323","13.323","-7.05%"
"05/30/2023","14.333","16.063","14.333","14.333","-5.75%"
"05/29/2023","15.208","17.192","15.585","15.208","-28.30%"
"05/28/2023","21.211","21.211","21.211","21.211","36.87%"
"05/27/2023","15.497","15.497","15.497","15.497","1.66%"
"05/26/2023","15.244","18.246","15.244","15.244","4.02%"
"05/25/2023","14.655","17.812","17.812","14.655","-8.27%"
"05/24/2023","15.977","18.014","18.014","15.977","-5.24%"
"05/23/2023","16.860","16.303","17.893","15.857","26.01%"
"05/22/2023","13.380","13.344","13.380","13.380","3.34%"
"05/21/2023","12.947","12.947","12.947","12.947","0.00%"
"05/20/2023","12.947","12.947","12.947","12.947","0.00%"
"05/19/2023","12.947","12.947","12.947","12.947","0.58%"
"05/18/2023","12.872","12.995","13.993","12.548","-25.75%"
"05/17/2023","17.336","16.957","18.341","16.957","32.59%"
"05/16/2023","13.075","16.570","18.150","13.075","-21.07%"
"05/15/2023","16.566","22.703","21.531","16.800","-39.19%"
"05/14/2023","27.243","27.243","27.243","27.243","15.53%"
"05/13/2023","23.581","23.581","23.581","23.581","11.30%"
"05/12/2023","21.187","23.128","21.187","21.187","-2.86%"
"05/11/2023","21.810","21.856","21.810","21.810","1.11%"
"05/10/2023","21.570","23.476","21.570","21.570","18.17%"
"05/09/2023","18.254","20.028","18.254","18.254","-6.54%"
"05/08/2023","19.532","19.481","19.532","19.532","-1.05%"
"05/06/2023","19.739","19.739","19.739","19.739","5.04%"
"05/05/2023","18.791","18.997","18.791","15.711","0.98%"
"05/04/2023","18.608","19.402","18.790","15.711","9.65%"
"05/03/2023","16.970","18.899","16.970","15.711","8.26%"
"05/02/2023","15.675","15.895","17.830","15.675","-3.23%"
"05/01/2023","16.198","16.198","16.198","16.198","0.25%"
"04/29/2023","16.157","16.157","16.157","16.157","0.39%"
"04/28/2023","16.094","16.157","16.094","16.094","6.25%"
"04/27/2023","15.148","15.805","15.148","15.148","4.08%"
"04/26/2023","14.554","14.554","14.554","14.554","-1.68%"
"04/25/2023","14.802","14.802","14.802","14.802","-0.54%"
"04/24/2023","14.883","14.883","14.883","14.883","1.45%"
"04/22/2023","14.670","14.670","14.670","14.670","4.15%"
"04/21/2023","14.085","14.085","14.085","14.085","0.49%"
"04/20/2023","14.016","14.016","14.016","14.016","-2.39%"
"04/19/2023","14.359","14.796","14.359","14.359","-1.45%"
"04/18/2023","14.571","14.571","14.571","14.571","0.91%"
"04/17/2023","14.439","15.695","14.439","14.439","-33.54%"
"04/16/2023","21.727","14.964","21.727","14.964","45.20%"
"04/15/2023","14.964","14.964","14.964","14.964","6.91%"
"04/14/2023","13.997","13.997","13.997","13.997","4.03%"
"04/13/2023","13.455","13.455","13.275","13.455","2.64%"
"04/12/2023","13.109","13.109","13.109","13.109","6.18%"
"04/11/2023","12.346","12.346","12.346","12.346","16.84%"
"04/10/2023","10.567","10.728","10.567","10.389","-8.31%"
"04/09/2023","11.525","11.525","11.525","11.525","2.25%"
"04/08/2023","11.271","11.271","11.271","11.271","8.41%"
"04/07/2023","10.397","11.361","10.397","10.397","0.49%"
"04/06/2023","10.346","10.474","10.346","10.346","0.62%"
"04/05/2023","10.282","10.817","10.282","10.282","7.95%"
"04/04/2023","9.525","11.372","9.525","9.525","-8.73%"
"04/03/2023","10.436","11.388","10.436","10.436","-41.37%"
"04/02/2023","17.800","11.496","17.800","11.496","54.84%"
